iter	Passed	Remaining
0	3	3954
1	7	3765
2	11	3751
3	14	3635
4	17	3522
5	20	3450
6	23	3387
7	27	3431
8	30	3392
9	33	3364
10	36	3321
11	40	3295
12	43	3275
13	46	3253
14	49	3230
15	52	3213
16	55	3185
17	58	3178
18	61	3168
19	64	3156
20	67	3143
21	70	3131
22	73	3122
23	76	3117
24	79	3110
25	82	3103
26	85	3095
27	88	3085
28	93	3123
29	97	3137
30	102	3198
31	106	3230
32	110	3247
33	114	3264
34	117	3248
35	120	3237
36	124	3242
37	127	3227
38	130	3216
39	133	3204
40	136	3192
41	139	3190
42	142	3182
43	146	3172
44	149	3162
45	152	3156
46	155	3147
47	158	3137
48	161	3127
49	164	3122
50	167	3114
51	170	3103
52	173	3097
53	176	3089
54	179	3081
55	182	3074
56	185	3065
57	188	3059
58	191	3051
59	194	3045
60	197	3037
61	200	3028
62	203	3022
63	206	3016
64	209	3009
65	212	3005
66	215	2997
67	218	2991
68	221	2986
69	224	2980
70	227	2977
71	230	2971
72	233	2964
73	236	2959
74	239	2954
75	242	2950
76	245	2945
77	248	2937
78	251	2931
79	254	2926
80	257	2921
81	260	2915
82	263	2910
83	266	2906
84	269	2903
85	272	2897
86	274	2882
87	277	2876
88	280	2870
89	283	2864
90	286	2859
91	289	2854
92	292	2848
93	295	2843
94	296	2824
95	299	2819
96	302	2816
97	305	2810
98	308	2805
99	311	2800
100	314	2796
101	317	2792
102	320	2788
103	323	2782
104	325	2778
105	328	2774
106	332	2770
107	335	2769
108	338	2764
109	341	2759
110	344	2755
111	347	2751
112	352	2764
113	355	2763
114	359	2763
115	361	2758
116	366	2763
117	369	2759
118	373	2767
119	377	2767
120	381	2771
121	384	2770
122	388	2769
123	392	2775
124	396	2776
125	399	2771
126	402	2766
127	405	2761
128	408	2757
129	411	2752
130	414	2747
131	417	2742
132	419	2737
133	422	2732
134	425	2727
135	428	2722
136	431	2717
137	434	2713
138	437	2708
139	440	2704
140	443	2700
141	446	2697
142	449	2693
143	452	2688
144	455	2687
145	459	2686
146	462	2685
147	466	2683
148	470	2685
149	473	2684
150	477	2684
151	480	2683
152	484	2683
153	488	2681
154	492	2685
155	495	2681
156	498	2677
157	501	2673
158	504	2668
159	507	2663
160	510	2659
161	513	2653
162	515	2649
163	518	2644
164	521	2639
165	524	2633
166	527	2631
167	530	2626
168	533	2621
169	535	2616
170	538	2611
171	541	2606
172	544	2604
173	548	2601
174	551	2599
175	554	2597
176	558	2596
177	562	2595
178	566	2596
179	569	2595
180	573	2593
181	576	2590
182	579	2586
183	582	2581
184	584	2576
185	587	2572
186	590	2567
187	593	2562
188	596	2558
189	599	2553
190	601	2549
191	604	2544
192	607	2540
193	615	2555
194	618	2553
195	621	2549
196	624	2545
197	627	2540
198	630	2536
199	632	2531
200	635	2526
201	638	2522
202	641	2517
203	644	2513
204	646	2508
205	649	2503
206	652	2499
207	655	2495
208	658	2491
209	660	2486
210	663	2481
211	666	2477
212	669	2472
213	672	2469
214	675	2465
215	677	2460
216	680	2456
217	683	2451
218	686	2449
219	689	2444
220	692	2440
221	695	2436
222	698	2432
223	700	2428
224	704	2425
225	706	2421
226	709	2417
227	712	2412
228	715	2408
229	718	2404
230	721	2400
231	723	2396
232	726	2391
233	729	2387
234	732	2383
235	734	2379
236	737	2375
237	740	2371
238	743	2367
239	746	2363
240	748	2358
241	751	2354
242	755	2352
243	758	2349
244	763	2351
245	765	2347
246	768	2343
247	771	2339
248	774	2336
249	777	2332
250	780	2327
251	782	2323
252	785	2319
253	788	2315
254	791	2312
255	794	2309
256	797	2305
257	800	2302
258	803	2299
259	806	2295
260	809	2291
261	812	2287
262	815	2283
263	817	2280
264	820	2276
265	823	2272
266	826	2269
267	829	2265
268	832	2261
269	835	2258
270	838	2254
271	841	2250
272	843	2247
273	846	2243
274	849	2239
275	852	2236
276	856	2235
277	859	2231
278	861	2227
279	864	2223
280	868	2221
281	871	2220
282	875	2217
283	878	2215
284	882	2213
285	885	2211
286	889	2209
287	892	2207
288	896	2204
289	899	2201
290	902	2197
291	904	2193
292	907	2189
293	910	2186
294	913	2182
295	916	2180
296	919	2177
297	922	2173
298	925	2169
299	928	2165
300	931	2164
301	935	2162
302	938	2159
303	942	2157
304	946	2155
305	950	2156
306	954	2154
307	958	2152
308	961	2150
309	965	2148
310	968	2145
311	971	2141
312	974	2138
313	977	2134
314	980	2131
315	983	2127
316	985	2124
317	988	2120
318	991	2116
319	994	2113
320	997	2110
321	1000	2106
322	1003	2102
323	1006	2099
324	1009	2095
325	1012	2092
326	1014	2088
327	1017	2085
328	1020	2081
329	1023	2077
330	1026	2074
331	1029	2071
332	1032	2068
333	1035	2064
334	1038	2061
335	1041	2058
336	1044	2054
337	1047	2051
338	1050	2048
339	1053	2045
340	1056	2041
341	1059	2038
342	1062	2035
343	1065	2031
344	1068	2028
345	1071	2025
346	1075	2024
347	1080	2025
348	1086	2026
349	1090	2025
350	1095	2026
351	1099	2023
352	1102	2020
353	1105	2017
354	1108	2014
355	1111	2010
356	1115	2008
357	1118	2006
358	1122	2003
359	1126	2002
360	1131	2003
361	1137	2005
362	1140	2001
363	1147	2004
364	1151	2002
365	1154	1999
366	1157	1996
367	1160	1993
368	1163	1989
369	1166	1986
370	1169	1982
371	1172	1978
372	1175	1975
373	1178	1971
374	1180	1968
375	1183	1964
376	1186	1960
377	1189	1956
378	1192	1953
379	1195	1949
380	1197	1946
381	1200	1942
382	1203	1938
383	1206	1935
384	1209	1931
385	1212	1928
386	1215	1924
387	1217	1921
388	1220	1917
389	1223	1913
390	1226	1910
391	1229	1906
392	1232	1902
393	1234	1899
394	1237	1895
395	1240	1891
396	1243	1888
397	1245	1884
398	1248	1880
399	1251	1877
400	1254	1874
401	1257	1870
402	1260	1866
403	1263	1863
404	1265	1859
405	1268	1856
406	1271	1852
407	1274	1849
408	1277	1845
409	1280	1841
410	1282	1838
411	1285	1835
412	1288	1831
413	1291	1827
414	1294	1824
415	1296	1820
416	1299	1817
417	1302	1813
418	1305	1810
419	1308	1806
420	1311	1803
421	1314	1799
422	1316	1796
423	1319	1792
424	1322	1789
425	1325	1785
426	1328	1782
427	1331	1779
428	1335	1777
429	1338	1774
430	1341	1771
431	1344	1768
432	1347	1764
433	1350	1761
434	1353	1757
435	1356	1754
436	1358	1750
437	1361	1747
438	1364	1743
439	1367	1740
440	1370	1736
441	1372	1733
442	1375	1729
443	1378	1726
444	1381	1722
445	1384	1719
446	1387	1716
447	1390	1712
448	1392	1709
449	1395	1705
450	1398	1702
451	1401	1699
452	1404	1695
453	1407	1692
454	1410	1689
455	1413	1686
456	1416	1683
457	1419	1679
458	1422	1676
459	1424	1672
460	1427	1669
461	1430	1665
462	1433	1662
463	1436	1659
464	1439	1656
465	1442	1652
466	1445	1649
467	1447	1645
468	1450	1642
469	1453	1638
470	1456	1635
471	1458	1631
472	1461	1628
473	1464	1625
474	1467	1621
475	1472	1620
476	1476	1618
477	1480	1616
478	1483	1614
479	1487	1611
480	1491	1608
481	1494	1606
482	1498	1603
483	1501	1600
484	1504	1597
485	1507	1593
486	1509	1590
487	1512	1587
488	1515	1583
489	1518	1580
490	1521	1577
491	1524	1573
492	1526	1570
493	1529	1566
494	1532	1563
495	1535	1560
496	1538	1556
497	1541	1553
498	1543	1549
499	1548	1548
500	1551	1545
501	1554	1542
502	1558	1539
503	1561	1536
504	1565	1534
505	1569	1532
506	1572	1529
507	1575	1526
508	1579	1523
509	1581	1519
510	1584	1516
511	1587	1513
512	1590	1509
513	1593	1506
514	1596	1503
515	1598	1499
516	1601	1496
517	1604	1492
518	1607	1489
519	1610	1486
520	1612	1482
521	1615	1479
522	1618	1476
523	1621	1472
524	1624	1469
525	1627	1466
526	1629	1462
527	1632	1459
528	1635	1456
529	1638	1452
530	1641	1449
531	1644	1446
532	1646	1442
533	1649	1439
534	1652	1436
535	1655	1432
536	1658	1429
537	1660	1426
538	1663	1422
539	1666	1419
540	1669	1416
541	1672	1412
542	1674	1409
543	1677	1406
544	1680	1402
545	1683	1399
546	1686	1396
547	1688	1393
548	1691	1389
